name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,category,id
3/4 Sit-Up,pull,beginner,compound,body only,['abdominals'],[],strength,3_4_Sit-Up
Ab Crunch Machine,pull,intermediate,isolation,machine,['abdominals'],[],strength,Ab_Crunch_Machine
Ab Roller,pull,intermediate,compound,other,['abdominals'],['shoulders'],strength,Ab_Roller
Advanced Kettlebell Windmill,push,intermediate,isolation,kettlebells,['abdominals'],"['glutes', 'hamstrings', 'shoulders']",strength,Advanced_Kettlebell_Windmill
Air Bike,pull,beginner,compound,body only,['abdominals'],[],strength,Air_Bike
Alternate Hammer Curl,pull,beginner,isolation,dumbbell,['biceps'],['forearms'],strength,Alternate_Hammer_Curl
Alternate Heel Touchers,pull,beginner,isolation,body only,['abdominals'],[],strength,Alternate_Heel_Touchers
Alternate Incline Dumbbell Curl,pull,beginner,isolation,dumbbell,['biceps'],['forearms'],strength,Alternate_Incline_Dumbbell_Curl
Alternating Cable Shoulder Press,push,beginner,compound,cable,['shoulders'],['triceps'],strength,Alternating_Cable_Shoulder_Press
Alternating Deltoid Raise,push,beginner,isolation,dumbbell,['shoulders'],[],strength,Alternating_Deltoid_Raise
Alternating Floor Press,push,beginner,compound,kettlebells,['chest'],"['abdominals', 'shoulders', 'triceps']",strength,Alternating_Floor_Press
Alternating Hang Clean,legs,intermediate,compound,kettlebells,['hamstrings'],"['biceps', 'calves', 'forearms', 'glutes', 'lower back', 'traps']",strength,Alternating_Hang_Clean
Alternating Kettlebell Press,push,intermediate,compound,kettlebells,['shoulders'],['triceps'],strength,Alternating_Kettlebell_Press
Alternating Kettlebell Row,pull,intermediate,isolation,kettlebells,['middle back'],"['biceps', 'lats']",strength,Alternating_Kettlebell_Row
Alternating Renegade Row,pull,expert,compound,kettlebells,['middle back'],"['abdominals', 'biceps', 'chest', 'lats', 'triceps']",strength,Alternating_Renegade_Row
Anti-Gravity Press,push,beginner,compound,barbell,['shoulders'],"['middle back', 'traps', 'triceps']",strength,Anti-Gravity_Press
Arnold Dumbbell Press,push,intermediate,compound,dumbbell,['shoulders'],['triceps'],strength,Arnold_Dumbbell_Press
Around The Worlds,push,intermediate,compound,dumbbell,['chest'],['shoulders'],strength,Around_The_Worlds
Back Flyes - With Bands,pull,beginner,compound,bands,['shoulders'],"['middle back', 'triceps']",strength,Back_Flyes_-_With_Bands
Balance Board,legs,beginner,compound,other,['calves'],"['hamstrings', 'quadriceps']",strength,Balance_Board
Ball Leg Curl,legs,beginner,isolation,exercise ball,['hamstrings'],"['calves', 'glutes']",strength,Ball_Leg_Curl
Band Assisted Pull-Up,pull,beginner,compound,other,['lats'],"['abdominals', 'forearms', 'middle back']",strength,Band_Assisted_Pull-Up
